property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
0,56,3,3,3,3,1840,0,0,0,1,0,2.23
1,13,5,6,3,3,7000,1,0,1,0,1,12
0,41,3,2,4,1,1409,0,0,0,1,0,1.35
1,51,1,1,0,4,1242,0,0,0,1,1,3.3
0,90,3,3,3,1,1650,1,0,0,2,2,1.85
1,58,3,2,0,0,2160,0,0,0,1,1,7
0,106,3,2,3,3,1240,0,0,0,1,2,0.65
0,61,3,3,3,4,2892,0,0,0,2,0,6.02
1,32,9,9,4,2,3600,1,1,0,2,2,10.75
0,13,3,3,3,1,1466,0,0,0,1,2,1.75
0,55,3,3,4,3,2395,0,0,1,0,2,3.65
1,9,3,2,1,0,3889,0,0,0,1,1,1.15
0,108,2,2,2,1,695,0,0,0,1,0,0.45
1,15,5,3,0,0,1300,0,0,0,1,1,0.95
0,88,3,4,4,1,1582,1,0,1,1,2,1.9
0,98,2,2,3,3,1638,0,1,0,0,2,1.09
0,74,3,4,2,3,3355,0,0,0,1,0,6.15
0,90,3,3,3,3,1362,0,0,0,0,2,1.28
0,19,3,2,2,1,1429,0,0,0,1,2,1.85
0,65,2,2,1,2,950,0,0,0,2,1,1.12
0,81,3,4,3,3,1527,1,0,1,1,2,1.65
1,33,3,3,2,2,1350,0,0,1,2,1,4.5
0,19,3,3,3,3,2014,0,0,0,2,2,2.45
0,41,2,2,4,4,1539,0,0,0,1,0,1.25
0,19,2,2,2,3,1080,0,0,0,2,2,1.45
0,97,2,2,3,3,1394,0,0,0,1,0,1.15
1,33,7,9,4,0,9000,1,1,2,2,2,31.5
0,44,3,3,4,3,1890,1,0,0,2,2,1.4
0,27,1,1,2,0,588,0,0,0,1,2,0.55
0,70,3,3,3,0,1538,0,0,1,2,0,2
0,16,4,4,3,1,3350,0,0,0,2,0,4
1,63,4,4,4,2,1449,0,0,1,1,1,3.55
1,47,2,2,4,0,900,1,1,0,1,2,1.7
0,8,2,3,3,1,1538,1,0,0,1,0,1.8
0,95,5,6,4,1,5711,1,0,0,2,2,3.85
0,0,3,4,3,4,3094,0,0,0,1,2,1.65
0,112,2,2,2,3,939,0,0,0,0,2,0.54
0,100,3,3,3,3,1993,0,0,0,1,0,1.45
1,13,5,5,2,3,2430,1,0,0,2,1,6.2
0,56,3,3,4,2,2061,0,0,1,2,2,2.51
0,79,3,3,1,3,1419,0,0,1,2,0,1.32
0,58,3,4,4,0,2450,1,0,1,0,2,3.1
0,70,2,2,2,4,1333,0,0,0,1,1,1.5
0,112,2,2,1,1,699,0,0,0,1,1,0.34
0,6,3,4,4,3,2334,0,0,1,1,2,2.4
0,2,3,3,2,0,2556,0,0,0,1,1,0.85
0,55,4,5,4,3,4422,1,0,0,1,1,11.25
0,96,3,3,1,3,2588,0,0,1,2,2,1.3
0,36,2,2,2,2,900,0,0,0,2,1,0.58
0,112,2,2,2,1,995,0,0,0,1,0,0.48
0,112,2,2,3,4,1222,0,0,0,2,2,0.78
0,40,4,5,4,3,2663,1,0,0,2,1,5.5
0,99,3,3,4,3,1780,0,0,0,0,0,1.5
0,61,3,4,4,2,2683,0,0,0,2,1,6.5
1,48,2,2,1,1,50,0,0,1,2,1,0.47
0,96,3,3,3,3,1500,1,0,1,0,2,1.76
0,8,2,2,2,1,877,0,0,0,1,0,1.2
0,76,3,3,2,3,200,0,0,0,1,1,1.2
0,112,2,2,1,1,615,0,0,0,1,2,0.4
0,6,3,3,3,3,1315,1,0,1,2,2,1.52
0,98,2,2,3,3,1700,0,0,1,0,2,1.18
1,21,6,6,0,2,192,0,0,0,1,2,0.62
0,98,2,2,3,3,1484,0,0,0,2,2,1.14
0,64,3,4,4,2,1900,1,0,1,2,2,1.54
0,108,2,2,2,1,717,0,0,0,2,2,0.36
0,27,3,3,4,2,1611,0,0,2,2,2,1.4
0,29,2,2,2,1,1285,0,0,0,1,2,1.99
0,102,2,2,2,1,1103,0,0,0,1,2,1.05
1,91,4,6,1,3,558,0,0,0,1,2,1.6
1,33,5,5,2,3,1783,1,0,0,1,2,7
0,27,2,2,3,2,1416,0,0,0,2,2,1.18
0,100,3,3,3,1,1652,0,0,0,2,0,1.65
0,97,2,2,1,3,528,0,0,0,1,2,0.35
0,112,3,2,4,1,1210,0,0,0,2,2,0.95
0,7,3,3,4,4,1741,0,0,0,2,2,1.5
0,10,4,6,4,3,1535,1,0,0,0,2,1.4
0,94,2,2,2,3,1175,0,0,1,2,1,0.78
0,12,3,4,4,3,1500.29,1,0,0,2,0,1.7
0,2,3,3,4,0,1900,1,0,0,1,2,0.9
0,104,4,4,4,0,2139,1,1,0,1,2,1.42
0,93,3,4,4,3,2300,1,1,1,2,2,2.25
0,6,3,4,4,3,1750,1,0,1,0,2,1.7
1,82,4,4,4,1,2332,1,0,1,0,1,6.5
1,20,2,4,2,3,846,0,0,1,1,1,1.2
1,80,7,7,0,2,2610,0,0,0,1,2,3
0,97,2,2,3,1,1222,0,0,0,1,2,0.85
1,27,4,3,2,0,1557,0,1,1,2,2,2.68
1,20,7,7,3,2,2700,0,0,0,1,1,2.9
1,32,6,5,2,3,6000,0,0,0,1,2,16
1,91,3,1,0,0,550,0,0,0,1,1,0.62
0,64,1,1,1,2,672,0,0,0,2,1,0.58
0,70,2,2,2,1,1278,0,0,0,1,2,1.58
0,10,4,3,3,2,1678,1,0,0,2,0,1.35
1,51,9,9,4,0,3510,1,0,0,1,2,14
1,38,6,1,0,1,3000,0,0,0,1,1,1.5
0,54,4,4,4,0,2857,0,1,1,2,2,1.8
0,17,4,5,4,3,2670,1,0,0,2,2,3.45
0,48,2,2,1,3,722,0,0,0,1,1,0.43
0,106,3,3,4,3,713,0,0,0,2,2,0.39
1,13,4,4,4,1,6228,1,0,0,2,1,6.75
0,2,3,3,4,0,1900,1,0,0,2,1,0.81
1,99,4,5,4,0,3194,1,0,1,1,2,2.5
0,64,3,2,3,3,2250,0,0,1,2,2,2.11
1,32,5,6,3,2,2700,1,1,1,2,2,10
0,16,3,4,3,3,1899,1,0,0,1,2,1.1
0,44,3,4,4,1,2134,1,0,0,2,0,1.5
0,89,3,3,4,2,2176,1,0,0,2,2,1.1
1,52,6,7,4,3,4500,1,1,1,2,2,16
0,79,3,3,1,3,1392,0,0,1,0,0,1.4
0,104,4,4,4,3,2005,0,0,0,1,2,1.75
0,98,3,4,3,1,2179,0,0,0,1,2,1.65
0,12,2,2,1,0,1468,0,0,0,1,2,0.7
0,92,3,4,2,0,1854,0,1,0,2,2,1.4
0,64,3,3,3,2,1810,1,0,1,2,2,1.55
0,81,3,5,3,3,1527,1,0,0,0,2,1.55
1,60,9,9,4,0,2700,1,0,1,1,2,5.5
0,22,4,4,0,2,3250,0,0,0,1,2,4.26
0,81,4,5,4,0,2169,1,0,1,0,2,2
0,76,2,2,1,1,889,0,0,0,2,2,0.56
0,43,1,1,1,3,319,0,0,1,2,2,0.37
0,83,4,4,3,0,1985,1,0,0,2,0,1.32
0,74,3,3,3,3,1650,1,0,0,1,2,2.65
0,81,3,3,4,1,1765,0,0,1,1,2,1.8
0,77,2,2,2,1,1296,0,0,0,2,1,1.3
0,90,3,4,4,1,1946,1,0,0,1,0,1.85
0,106,4,3,2,3,2167,0,0,0,1,1,1
0,66,2,2,1,3,1528,0,0,1,1,2,2.2
0,87,3,4,4,4,2111,1,0,2,0,2,3.35
0,98,4,5,4,3,2390,1,0,0,0,2,2.2
1,65,4,3,4,0,1665,1,1,0,0,1,3.3
1,56,3,3,3,0,2000,1,1,0,1,1,4.05
0,64,3,3,4,2,1450,0,0,1,0,2,1.35
1,46,10,10,4,3,3123,0,0,0,1,1,8
0,84,4,4,4,3,3846,1,0,0,2,1,6.5
0,88,3,4,4,1,1600,1,0,1,2,0,2.1
1,75,4,4,4,3,5574.7,1,1,0,2,2,9.01
0,14,6,4,2,0,3951,0,0,0,1,2,2.3
0,29,3,5,4,1,2796,1,0,0,2,2,4.63
0,112,2,2,4,3,1367,0,0,0,2,0,0.74
